0,1,2,3,4,5,6,7,8,9,10,11
2020-01-23 14:45:31,StreetNetNgr,,0,0,0,,,,1220356894625292288,https://twitter.com/StreetNetNgr/status/1220356894625292288,Funke Akindeleâ€™s ex- husband to become next chairman of Oshodi/Isolo LG 
2020-01-23 14:45:18,OshodiOlu_,mirrannee,0,0,0,,,,1220356840703299584,https://twitter.com/OshodiOlu_/status/1220356840703299584,"Lagos, the former capital of Nigeria before being moved to Abuja, is the country's largest and most populous city and has been dubbed "" Africa's Big Apple,"" in reference to New York City. "
2020-01-23 14:32:45,TiwaOlukeye_,Kinglamarr___,0,0,0,,@Oshodi,,1220353679880019968,https://twitter.com/TiwaOlukeye_/status/1220353679880019968,
2020-01-23 14:30:08,TrafficChiefNG,,1,1,2,,@omodorere @pejua1 @whiteshadow_411 @followlasg @jidesanwoolu @followlastma,#TrafficChief,1220353024687661056,https://twitter.com/TrafficChiefNG/status/1220353024687661056,"[3:15PM] : Bolade oshodi ""agege motor road"", task force have there thugs who collect money for them from commercial buses"
2020-01-23 14:27:30,ibrandtv,,0,0,0,,,,1220352360771395584,https://twitter.com/ibrandtv/status/1220352360771395584,"The mass transit train on track, Thursday, January 23, 2020, sighted around Ladipo, Oshodi area of Lagos State "
2020-01-23 14:22:55,Son_of_Songs,Real_ETM,1,0,0,,,,1220351208474529792,https://twitter.com/Son_of_Songs/status/1220351208474529792,"Take bus from Obalende to oshodi, then take another bus from oshodi to ikeja, stop at underbridge, cross to the other side, take a bike to Adeniyi Jones, opposite the podium, when you get there...."
2020-01-23 14:18:29,cgphotographers,,0,0,0,,,,1220350090696626179,https://twitter.com/cgphotographers/status/1220350090696626179,The Old Oshodi Igbo market. This is Lagos!
2020-01-23 14:17:36,4eyednerd,,5,0,1,,,,1220349869656813569,https://twitter.com/4eyednerd/status/1220349869656813569,Isnt Taaoma like 12. What is she doing kissing a man?
2020-01-23 14:16:38,4eyednerd,,0,0,0,,,,1220349626949218305,https://twitter.com/4eyednerd/status/1220349626949218305,If these hospital were mine I would fire the hell out of these incompetent attendants.
2020-01-23 14:15:34,omodorere,pejua1,0,0,0,,,,1220349355884007424,https://twitter.com/omodorere/status/1220349355884007424,"Bolade oshodi ""agege motor road"", task force have there thugs who collect money for them from commercial buses"
